front,back
ALABAMA,Montgomery
ALASKA,Juneau
ARIZONA,Phoenix
ARKANSAS,Little Rock
CALIFORNIA,Sacramento
COLORADO,Denver
CONNECTICUT,Hartford
DELAWARE,Dover
FLORIDA,Tallahassee
GEORGIA,Atlanta
HAWAII,Honolulu
IDAHO,Boise
ILLINOIS,Springfield
INDIANA,Indianapolis
IOWA,Des Moines
KANSAS,Topeka
KENTUCKY,Frankfort
LOUISIANA,Baton Rouge
MAINE,Augusta
MARYLAND,Annapolis
MASSACHUSETTS,Boston
MICHIGAN,Lansing
MINNESOTA,Saint Paul
MISSISSIPPI,Jackson
MISSOURI,Jefferson City
MONTANA,Helena
NEBRASKA,Lincoln
NEVADA,Carson City
NEW HAMPSHIRE,Concord
NEW JERSEY,Trenton
NEW MEXICO,Santa Fe
NEW YORK,Albany
NORTH CAROLINA,Raleigh
NORTH DAKOTA,Bismarck
OHIO,Columbus
OKLAHOMA,Oklahoma City
OREGON,Salem
PENNSYLVANIA,Harrisburg
RHODE ISLAND,Providence
SOUTH CAROLINA,Columbia
SOUTH DAKOTA,Pierre
TENNESSEE,Nashville
TEXAS,Austin
UTAH,Salt Lake City
VERMONT,Montpelier
VIRGINIA,Richmond
WASHINGTON,Olympia
WEST VIRGINIA,Charleston
WISCONSIN,Madison
WYOMING,Cheyenne
